phrase	sumWorst	sumTotal	p_total	stdDevAggregated
https://t.co/meiz1uyubZ Sempre al top noi. Presa nel culo in tutti i sensi.	7	29	0.2413793103448276	0.8558395617924729
@aidalaverdadera sì ma solo perché alla gente sotto sotto piace essere presa per il culo 🤭	7	29	0.2413793103448276	0.8558395617924729
@Dana75Nera @GrandeFratello Non guardartelo stasera. Ci prendono per il culo per tirare avanti ma devono fallire	7	30	0.23333333333333334	0.8459051693633013
@FratellidItalia @GiorgiaMeloni La faccia come il culo, !!! State spolpando il paese, senza ritegno e vergogna !!!	24	31	0.7741935483870968	0.8362246062461756
I lecca culo così fake come Ciro non li ho mai sopportati #uominiedonne	7	31	0.22580645161290322	0.8362246062461755
Sono arrivata alla conclusione che a Francesca piace essere presa per il culo.. La sua vecchia storia non le ha insegnato proprio niente 🤦🏼‍♀️ #Uominiedonne	6	27	0.2222222222222222	0.8314794192830981
@BrunoVespa Sei talmente stupido da non capire neanche che la Littizzetto prendeva per il culo la Meloni e non vedeva l'ora! Comunque è bello sapere che segui la trasmissione di Fabio per imparare a fare il giornalista vero!	6	29	0.20689655172413793	0.8101613878945332
@fratotolo2 @matteosalvinimi Quindi basta scassare il pantografo di un treno locale in un buco di culo tra Padova e Rovigo per mandare in tilt tutta la rete ferroviaria italiana. La vostra fortuna è che non arrivate nemmeno al livello cognitivo necessario a percepire il senso di vergogna.	6	29	0.20689655172413793	0.8101613878945332
i concorrenti del merdeffe più forti di me perché se anche solo avessero provato con me lì a mettere il culo o i piedi o qualcosa che non siano le mani per cucinare sul piano della cucina sarei uscita fuori di testa	6	29	0.20689655172413793	0.8101613878945332
non avete capito semmai dovesse esserci un ripescaggio io faccio la matta rubo i telefoni per votare creo seicento mail e prendo le password degli account dei miei parenti fino al nono grado mi faccio arrestare non lo so ma non la prendo nel culo un'altra volta come lunedì scorso	6	30	0.2	0.8
@amocorna In questa posizione oltre la fica c’è anche il culo a disposizione, più cazzi per una Troia	25	31	0.8064516129032258	0.7901579815429607
@anitablanco3 Povero spara cazzate. La sera in solitudine sputa al riflesso che vede allo specchio. Fottuto opportunista sé fatto eleggere pure nelle liste del PD . Faccia di culo	25	31	0.8064516129032258	0.7901579815429607
Perciò noi tifosi glie la stiamo mettendo nel culo a sti 4 dirigenti di merda???? Godo!	21	26	0.8076923076923077	0.7882269819968921
@TgLa7 Comunista pedofilo. Tu sei il primo migrante da spedire a calci nel culo all’inferno. Cane	26	32	0.8125	0.7806247497997998
@linusna_lino @LuxTerna88 @realvarriale @sscnapoli @Atalanta_BC A fine anno come sempre lo prenderete in culo,3 scudetti nella vostra storia di merda e vi credete buoni anche.Basta vedere la monnezza che tifa Napoli che gente è che cervello ha	22	27	0.8148148148148148	0.7768954430890012
@Vittori87874074 Ci prendono pure per il culo!	5	28	0.17857142857142858	0.7659860924831149
madonna gianny che peso in culo porcodio ma fatti i cazzi tuoi	24	29	0.8275862068965517	0.7554793896622981
i like compulsivi di Ilenia ai post che parlano del rientro in casa quanto si sta divertendo a prenderci per il culo #zelena	5	29	0.1724137931034483	0.7554793896622981
Tre anni fa sono arrivata in PS che stavo male perché mi stavo lasciando morire di fame per il trauma. L’infermiera, oltre a farmi una sfuriata perché “ci sono tanti casi di covid tu ci togli tempo”, mi ha pure detto che avevo bisogno della fede. 65€ e un calcio in culo	5	30	0.16666666666666666	0.7453559924999299
@Ilaria47447999 @Beatrice_Luzzi_ Si, eleggeranno Lorenzo primo finalista. Non guardate noi sognamo e loro ci prendono per il culo	5	30	0.16666666666666666	0.7453559924999299
@Milly90457339 @drinkthiscola E improvvisamente decidi tu cosa sogna helena,vai a fare in culo	25	30	0.8333333333333334	0.7453559924999298
@Agenzia_Ansa che potete mettervi nel culo	26	31	0.8387096774193549	0.7355970484510567
Gianmarco non le ha leccato il culo e ha fatto bene #uominiedonne	4	27	0.14814814814814814	0.7104935590092918
@lisameyerildra1 Ma perché ve la prendete sempre con i morti ? Quando invece sono i vivi a farvi il culo	4	30	0.13333333333333333	0.6798692684790381
@LaStampa Zecche rosse dovete andare a stroncarvelo in culo 🖕	26	30	0.8666666666666667	0.679869268479038
@lele_Bertea @repubblica Lo dici tu che xe tuo figlio. Sappi che non sono gli ebrei che han decapitato le teste dei bambini e tenuto in ostaggi gente al buio per 18 mesi. Faccia da culo pascola cammelli...	27	31	0.8709677419354839	0.6704712803492429
@acmilan Andate a fare in culo, avete rovinato tutto.	28	32	0.875	0.6614378277661477
@NonEvoluto Perché si vogliono salvare il culo provando a rivoluzionare le cagate che hanno fatto , ma ho pauriccia che a fine anno pagheranno anche loro .	3	27	0.1111111111111111	0.6285393610547089
@paola_elia94 Idem! Io dovevo andare a fare il quarto anno di liceo fuori, mi son cagata sotto e non l’ho fatto. Col senno di poi mi ci sarei mandata da sola a calci in culo guarda ahahah	3	29	0.10344827586206896	0.6090869562984722
beh signorotti miei, se non è un bel #culo questo....💋	3	29	0.10344827586206896	0.6090869562984722
raga mi si sta chiudendo il culo dall'ansia #GIUSTIZIAXHELENA #RIPESCAGGIOHELENA #zelena	3	30	0.1	0.6000000000000001
@F1REAKS Ma… perché devono fare così dare a Lewis quel che è di Lewis è giusto ma qui non ha merito non ha manco messo il culo sulla Ferrari. Poi quello che ha portato davvero a far rifiorire la passione è Charles diciamolo… chi ora è tifoso Ferrari per Lewis non rimarrà quando se ne va	3	30	0.1	0.6000000000000001
@gigipodda Per me borca maceria puoi anche andare a fare in culo al tuo paese Apu ….	27	30	0.9	0.6
@ceciliasala Ma vai a prenderlo nel culo cessa BASTARDA	28	31	0.9032258064516129	0.5913000896717213
@mrsbeacullenSFW Complimenti per il culo è spettacolare	2	28	0.07142857142857142	0.5150787536377128
@repubblica I potenti hanno sempre le vie di fuga.....ognuno para il culo all altro.......never believe in anyone.........	2	28	0.07142857142857142	0.5150787536377128
@Deborah101718 È una presa per il culo lo fanno per fare in modo che il pubblico sia incollato alla tv	2	29	0.06896551724137931	0.5067909812654852
@DerekBradPhoto @Eurosport_IT ma vai a fare in culo Derek	27	29	0.9310344827586207	0.5067909812654852
@JUVEN_TV @MARCOBjork72 @Bygadino @juventusfc @filoferranti @MikytheDjos @DocRiserva @eman_murra @robinazeta @loredanapapa2 @GiovannaLazza15 @ARappazzo vediamo, fino alla scorsa settimana stavano lì prevalentemente per culo, sabato hanno oggettivamente giocato alla grande: comunque il calcio è bello perché è uno degli sport in cui più spesso vince la sfavorita	2	29	0.06896551724137931	0.5067909812654852
@giulia15584248 ma che c'entra. magari si è presa quelle due settimane per essere sicura al 100% della scelta che stava facendo. stiamo parlando di due settimane poi, mica di due mesi, capirai la presa per il culo... sono persone, mica burattini	2	29	0.06896551724137931	0.5067909812654852
@Marta_waifu anche un gran bel.....culo ♥️	2	30	0.06666666666666667	0.49888765156985887
@Giusepp99416538 @annaparolisi421 Di Silvia frega un cazzo, tanto ormai siete in 3 a negare l'evidenza e palese scomparirà come Micol hahha Ho detto che aveva poco da parlare di Perla e Alessio quando lui stava attaccato al culo di Angelica. Invece di piangere entra e falla stare bene no?	0	28	0.0	0.0
@massimo_macs Senti, parlate sempre di DNA e stai a fare il piangina. Giochi ogni tre giorni perché sei in tutte le competizioni (che mi sembra una cosa buona). Funziona così, e le società fanno le squadre in questa ottica. E se non ne tengono conto, sbagliano. Non è culo, è calendario	0	30	0.0	0.0
